Timestamp,Data
20250123_200239,C: 0 T: 19660 P: -1 V: 44
20250123_200239,C: 0 T: 19671 P: -6 V: 35
20250123_200239,C: 0 T: 19682 P: -11 V: 44
20250123_200239,C: 0 T: 19693 P: -17 V: 40
20250123_200239,C: 0 T: 19704 P: -22 V: 40
20250123_200239,C: 0 T: 19715 P: -28 V: 39
20250123_200239,C: 0 T: 19726 P: -33 V: 39
20250123_200239,C: 0 T: 19737 P: -39 V: 39
20250123_200239,C: 0 T: 19748 P: -44 V: 46
20250123_200239,C: 0 T: 19759 P: -50 V: 40
20250123_200239,C: 0 T: 19770 P: -55 V: 46
20250123_200239,C: 0 T: 19781 P: -61 V: 42
20250123_200239,C: 0 T: 19792 P: -66 V: 38
20250123_200239,C: 0 T: 19803 P: -72 V: 36
20250123_200239,C: 0 T: 19814 P: -77 V: 30
20250123_200239,C: 0 T: 19825 P: -83 V: 42
20250123_200239,C: 0 T: 19836 P: -88 V: 45
20250123_200239,C: 0 T: 19847 P: -94 V: 37
20250123_200239,C: 0 T: 19858 P: -99 V: 43
20250123_200239,C: 0 T: 19869 P: -105 V: 46
20250123_200239,C: 0 T: 19880 P: -110 V: 43
20250123_200239,C: 0 T: 19891 P: -116 V: 43
20250123_200239,C: 0 T: 19902 P: -121 V: 43
20250123_200239,C: 0 T: 19913 P: -127 V: 34
20250123_200239,C: 0 T: 19924 P: -132 V: 33
20250123_200239,C: 0 T: 19935 P: -138 V: 37
20250123_200239,C: 0 T: 19946 P: -143 V: 38
20250123_200239,C: 0 T: 19957 P: -149 V: 39
20250123_200239,C: 0 T: 19968 P: -154 V: 38
20250123_200239,C: 0 T: 19979 P: -160 V: 29
20250123_200239,C: 0 T: 19990 P: -165 V: 36
20250123_200239,C: 0 T: 20001 P: -171 V: 29
20250123_200239,C: 0 T: 20012 P: -176 V: 25
20250123_200239,C: 0 T: 20023 P: -182 V: 37
20250123_200239,C: 0 T: 20034 P: -187 V: 39
20250123_200239,C: 0 T: 20045 P: -193 V: 37
20250123_200239,C: 0 T: 20056 P: -198 V: 41
20250123_200239,C: 0 T: 20067 P: -204 V: 35
20250123_200239,C: 0 T: 20078 P: -209 V: 36
20250123_200239,C: 0 T: 20089 P: -215 V: 34
20250123_200239,C: 0 T: 20100 P: -220 V: 44
20250123_200239,C: 0 T: 20111 P: -226 V: 37
20250123_200239,C: 0 T: 20122 P: -231 V: 46
20250123_200239,C: 0 T: 20133 P: -237 V: 39
20250123_200239,C: 0 T: 20144 P: -242 V: 37
20250123_200239,C: 0 T: 20155 P: -248 V: 37
20250123_200239,C: 0 T: 20166 P: -253 V: 35
20250123_200239,C: 0 T: 20177 P: -259 V: 46
20250123_200239,C: 0 T: 20188 P: -264 V: 39
20250123_200239,C: 0 T: 20199 P: -270 V: 42
20250123_200239,C: 0 T: 20210 P: -275 V: 37
20250123_200239,C: 0 T: 20221 P: -281 V: 36
20250123_200239,C: 0 T: 20232 P: -286 V: 41
20250123_200239,C: 0 T: 20243 P: -292 V: 39
20250123_200239,C: 0 T: 20254 P: -297 V: 44
20250123_200239,C: 0 T: 20265 P: -303 V: 45
20250123_200239,C: 0 T: 20276 P: -308 V: 36
20250123_200239,C: 0 T: 20287 P: -314 V: 39
20250123_200239,C: 0 T: 20298 P: -319 V: 42
20250123_200239,C: 0 T: 20309 P: -325 V: 45
20250123_200239,C: 0 T: 20320 P: -330 V: 36
20250123_200239,C: 0 T: 20331 P: -336 V: 36
20250123_200239,C: 0 T: 20342 P: -341 V: 39
20250123_200239,C: 0 T: 20353 P: -347 V: 38
20250123_200239,C: 0 T: 20364 P: -352 V: 37
20250123_200239,C: 0 T: 20375 P: -358 V: 43
20250123_200239,C: 0 T: 20386 P: -363 V: 38
20250123_200239,C: 0 T: 20397 P: -369 V: 39
20250123_200239,C: 0 T: 20408 P: -374 V: 36
20250123_200239,C: 0 T: 20419 P: -380 V: 39
20250123_200239,C: 0 T: 20430 P: -385 V: 45
20250123_200239,C: 0 T: 20441 P: -391 V: 36
20250123_200239,C: 0 T: 20452 P: -396 V: 45
20250123_200239,C: 0 T: 20463 P: -400 V: 50
20250123_200239,C: 0 T: 20474 P: -400 V: 29
20250123_200239,C: 0 T: 20485 P: -400 V: 44
20250123_200239,C: 0 T: 20496 P: -400 V: 44
20250123_200239,C: 0 T: 20507 P: -400 V: 36
20250123_200239,C: 0 T: 20518 P: -400 V: 41
20250123_200239,C: 0 T: 20529 P: -400 V: 40
20250123_200239,C: 0 T: 20540 P: -400 V: 32
20250123_200239,C: 0 T: 20551 P: -400 V: 34
20250123_200239,C: 0 T: 20562 P: -400 V: 42
20250123_200239,C: 0 T: 20573 P: -400 V: 40
20250123_200239,C: 0 T: 20584 P: -400 V: 35
20250123_200239,C: 0 T: 20595 P: -400 V: 36
20250123_200239,C: 0 T: 20606 P: -400 V: 29
20250123_200239,C: 0 T: 20617 P: -400 V: 39
20250123_200239,C: 0 T: 20628 P: -400 V: 46
20250123_200239,C: 0 T: 20639 P: -400 V: 40
20250123_200239,C: 0 T: 20650 P: -400 V: 44
20250123_200239,C: 0 T: 20661 P: -400 V: 40
20250123_200239,C: 0 T: 20672 P: -400 V: 41
20250123_200239,C: 0 T: 20683 P: -400 V: 39
20250123_200239,C: 0 T: 20694 P: -400 V: 37
20250123_200239,C: 0 T: 20705 P: -400 V: 40
20250123_200239,C: 0 T: 20716 P: -400 V: 51
20250123_200239,C: 0 T: 20727 P: -400 V: 30
20250123_200239,C: 0 T: 20738 P: -400 V: 48
20250123_200239,C: 0 T: 20749 P: -400 V: 46
20250123_200239,C: 0 T: 20760 P: -400 V: 46
20250123_200239,C: 0 T: 20771 P: -400 V: 28
20250123_200239,C: 0 T: 20782 P: -400 V: 39
20250123_200239,C: 0 T: 20793 P: -400 V: 41
20250123_200239,C: 0 T: 20804 P: -400 V: 47
20250123_200239,C: 0 T: 20815 P: -400 V: 32
20250123_200239,C: 0 T: 20826 P: -400 V: 42
20250123_200239,C: 0 T: 20837 P: -400 V: 38
20250123_200239,C: 0 T: 20848 P: -400 V: 36
20250123_200239,C: 0 T: 20859 P: -400 V: 28
20250123_200239,C: 0 T: 20870 P: -400 V: 47
