Timestamp,Data
20250123_201254,C: 0 T: 7812 P: -1 V: 22
20250123_201254,C: 0 T: 7823 P: -6 V: 19
20250123_201254,C: 0 T: 7834 P: -12 V: 17
20250123_201254,C: 0 T: 7845 P: -17 V: 19
20250123_201254,C: 0 T: 7856 P: -23 V: 19
20250123_201254,C: 0 T: 7867 P: -28 V: 20
20250123_201254,C: 0 T: 7878 P: -34 V: 18
20250123_201254,C: 0 T: 7889 P: -39 V: 18
20250123_201254,C: 0 T: 7900 P: -45 V: 17
20250123_201254,C: 0 T: 7911 P: -50 V: 18
20250123_201254,C: 0 T: 7922 P: -55 V: 17
20250123_201254,C: 0 T: 7933 P: -61 V: 21
20250123_201254,C: 0 T: 7944 P: -66 V: 18
20250123_201254,C: 0 T: 7955 P: -72 V: 18
20250123_201254,C: 0 T: 7966 P: -77 V: 18
20250123_201254,C: 0 T: 7977 P: -83 V: 19
20250123_201254,C: 0 T: 7988 P: -88 V: 20
20250123_201254,C: 0 T: 7999 P: -94 V: 18
20250123_201254,C: 0 T: 8010 P: -99 V: 19
20250123_201254,C: 0 T: 8021 P: -105 V: 17
20250123_201254,C: 0 T: 8032 P: -110 V: 18
20250123_201254,C: 0 T: 8043 P: -116 V: 17
20250123_201254,C: 0 T: 8054 P: -121 V: 19
20250123_201254,C: 0 T: 8065 P: -127 V: 20
20250123_201254,C: 0 T: 8076 P: -132 V: 18
20250123_201254,C: 0 T: 8087 P: -138 V: 17
20250123_201254,C: 0 T: 8098 P: -143 V: 18
20250123_201254,C: 0 T: 8109 P: -149 V: 18
20250123_201254,C: 0 T: 8120 P: -154 V: 18
20250123_201254,C: 0 T: 8131 P: -160 V: 18
20250123_201254,C: 0 T: 8142 P: -165 V: 17
20250123_201254,C: 0 T: 8153 P: -171 V: 18
20250123_201254,C: 0 T: 8164 P: -176 V: 20
20250123_201254,C: 0 T: 8175 P: -182 V: 18
20250123_201254,C: 0 T: 8186 P: -187 V: 18
20250123_201254,C: 0 T: 8197 P: -193 V: 19
20250123_201254,C: 0 T: 8208 P: -198 V: 18
20250123_201254,C: 0 T: 8219 P: -204 V: 18
20250123_201254,C: 0 T: 8230 P: -209 V: 17
20250123_201254,C: 0 T: 8241 P: -215 V: 16
20250123_201254,C: 0 T: 8252 P: -220 V: 17
20250123_201254,C: 0 T: 8263 P: -226 V: 20
20250123_201254,C: 0 T: 8274 P: -231 V: 17
20250123_201254,C: 0 T: 8285 P: -237 V: 18
20250123_201254,C: 0 T: 8296 P: -242 V: 18
20250123_201254,C: 0 T: 8307 P: -248 V: 18
20250123_201254,C: 0 T: 8318 P: -253 V: 19
20250123_201254,C: 0 T: 8329 P: -259 V: 18
