Timestamp,Data
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 41
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 41
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 43
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 41
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 42
20250123_200201,C: 0 T: 204025 P: -1 V: 43
