Timestamp,Data
20250123_200622,C: 0 T: 2087 P: -1 V: 34
20250123_200622,C: 0 T: 2098 P: -6 V: 42
20250123_200622,C: 0 T: 2109 P: -11 V: 47
20250123_200622,C: 0 T: 2120 P: -17 V: 51
20250123_200622,C: 0 T: 2131 P: -22 V: 47
20250123_200622,C: 0 T: 2142 P: -28 V: 47
20250123_200622,C: 0 T: 2153 P: -33 V: 43
20250123_200622,C: 0 T: 2164 P: -39 V: 42
20250123_200622,C: 0 T: 2175 P: -44 V: 39
20250123_200622,C: 0 T: 2186 P: -50 V: 42
20250123_200622,C: 0 T: 2197 P: -55 V: 47
20250123_200622,C: 0 T: 2208 P: -61 V: 34
20250123_200622,C: 0 T: 2219 P: -66 V: 36
20250123_200622,C: 0 T: 2230 P: -72 V: 44
20250123_200622,C: 0 T: 2241 P: -77 V: 35
20250123_200622,C: 0 T: 2252 P: -83 V: 37
20250123_200622,C: 0 T: 2263 P: -88 V: 39
20250123_200622,C: 0 T: 2274 P: -94 V: 44
20250123_200622,C: 0 T: 2285 P: -99 V: 37
20250123_200622,C: 0 T: 2296 P: -105 V: 43
20250123_200622,C: 0 T: 2307 P: -110 V: 35
20250123_200622,C: 0 T: 2318 P: -116 V: 38
20250123_200622,C: 0 T: 2329 P: -121 V: 37
20250123_200622,C: 0 T: 2340 P: -127 V: 37
20250123_200622,C: 0 T: 2351 P: -132 V: 42
20250123_200622,C: 0 T: 2362 P: -138 V: 32
20250123_200622,C: 0 T: 2373 P: -143 V: 35
20250123_200622,C: 0 T: 2384 P: -149 V: 26
20250123_200622,C: 0 T: 2395 P: -154 V: 41
20250123_200622,C: 0 T: 2406 P: -160 V: 38
20250123_200622,C: 0 T: 2417 P: -165 V: 40
20250123_200622,C: 0 T: 2428 P: -171 V: 31
20250123_200622,C: 0 T: 2439 P: -176 V: 39
20250123_200622,C: 0 T: 2450 P: -182 V: 36
20250123_200622,C: 0 T: 2461 P: -187 V: 37
20250123_200622,C: 0 T: 2472 P: -193 V: 33
20250123_200622,C: 0 T: 2483 P: -198 V: 36
20250123_200622,C: 0 T: 2494 P: -204 V: 35
20250123_200622,C: 0 T: 2505 P: -209 V: 41
20250123_200622,C: 0 T: 2516 P: -215 V: 44
20250123_200622,C: 0 T: 2527 P: -220 V: 35
20250123_200622,C: 0 T: 2538 P: -226 V: 34
20250123_200622,C: 0 T: 2549 P: -231 V: 32
20250123_200622,C: 0 T: 2560 P: -237 V: 37
20250123_200622,C: 0 T: 2571 P: -242 V: 35
20250123_200622,C: 0 T: 2582 P: -248 V: 38
20250123_200622,C: 0 T: 2593 P: -253 V: 38
20250123_200622,C: 0 T: 2604 P: -259 V: 33
20250123_200622,C: 0 T: 2615 P: -264 V: 37
20250123_200622,C: 0 T: 2626 P: -270 V: 41
20250123_200622,C: 0 T: 2637 P: -275 V: 46
20250123_200622,C: 0 T: 2648 P: -281 V: 42
20250123_200622,C: 0 T: 2659 P: -286 V: 39
20250123_200622,C: 0 T: 2670 P: -292 V: 38
20250123_200622,C: 0 T: 2681 P: -297 V: 45
20250123_200622,C: 0 T: 2692 P: -303 V: 44
20250123_200622,C: 0 T: 2703 P: -308 V: 34
20250123_200622,C: 0 T: 2714 P: -314 V: 36
