Timestamp,Data
20250123_200550,C: 0 T: 153563 P: -1 V: 39
20250123_200550,C: 0 T: 153563 P: -1 V: 38
20250123_200550,C: 0 T: 153563 P: -1 V: 47
20250123_200550,C: 0 T: 153563 P: -1 V: 30
20250123_200550,C: 0 T: 153563 P: -1 V: 55
20250123_200550,C: 0 T: 153563 P: -1 V: 42
20250123_200550,C: 0 T: 153563 P: -1 V: 35
20250123_200550,C: 0 T: 153563 P: -1 V: 49
20250123_200550,C: 0 T: 153563 P: -1 V: 35
20250123_200550,C: 0 T: 153563 P: -1 V: 48
20250123_200550,C: 0 T: 153563 P: -1 V: 37
20250123_200550,C: 0 T: 153563 P: -1 V: 43
20250123_200550,C: 0 T: 153563 P: -1 V: 43
20250123_200550,C: 0 T: 153563 P: -1 V: 39
20250123_200550,C: 0 T: 153563 P: -1 V: 40
20250123_200550,C: 0 T: 153563 P: -1 V: 39
20250123_200550,C: 0 T: 153563 P: -1 V: 49
20250123_200550,C: 0 T: 153563 P: -1 V: 31
20250123_200550,C: 0 T: 153563 P: -1 V: 47
20250123_200550,C: 0 T: 153563 P: -1 V: 43
20250123_200550,C: 0 T: 153563 P: -1 V: 40
20250123_200550,C: 0 T: 153563 P: -1 V: 42
20250123_200550,C: 0 T: 153563 P: -1 V: 38
20250123_200550,C: 0 T: 153563 P: -1 V: 45
20250123_200550,C: 0 T: 153563 P: -1 V: 42
20250123_200550,C: 0 T: 153563 P: -1 V: 37
20250123_200550,C: 0 T: 153563 P: -1 V: 46
20250123_200550,C: 0 T: 153563 P: -1 V: 40
20250123_200550,C: 0 T: 153563 P: -1 V: 35
20250123_200550,C: 0 T: 153563 P: -1 V: 40
20250123_200550,C: 0 T: 153563 P: -1 V: 42
20250123_200550,C: 0 T: 153563 P: -1 V: 40
20250123_200550,C: 0 T: 153563 P: -1 V: 43
20250123_200550,C: 0 T: 153563 P: -1 V: 43
20250123_200550,C: 0 T: 153563 P: -1 V: 33
20250123_200550,C: 0 T: 153563 P: -1 V: 43
20250123_200550,C: 0 T: 153563 P: -1 V: 38
20250123_200550,C: 0 T: 153563 P: -1 V: 46
20250123_200550,C: 0 T: 153563 P: -1 V: 42
20250123_200550,C: 0 T: 153563 P: -1 V: 36
20250123_200550,C: 0 T: 153563 P: -1 V: 48
20250123_200550,C: 0 T: 153563 P: -1 V: 37
20250123_200550,C: 0 T: 153563 P: -1 V: 54
20250123_200550,C: 0 T: 153563 P: -1 V: 41
20250123_200550,C: 0 T: 153563 P: -1 V: 43
20250123_200550,C: 0 T: 153563 P: -1 V: 38
20250123_200550,C: 0 T: 153563 P: -1 V: 47
20250123_200550,C: 0 T: 153563 P: -1 V: 43
20250123_200550,C: 0 T: 153563 P: -1 V: 40
20250123_200550,C: 0 T: 153564 P: -1 V: 44
20250123_200550,C: 0 T: 153564 P: -1 V: 42
20250123_200550,C: 0 T: 153564 P: -1 V: 39
20250123_200550,C: 0 T: 153564 P: -1 V: 46
20250123_200550,C: 0 T: 153564 P: -1 V: 40
20250123_200550,C: 0 T: 153564 P: -1 V: 45
