Timestamp,Data
20250123_201521,C: 0 T: 92683 P: -1 V: 18
20250123_201521,C: 0 T: 92683 P: -1 V: 22
20250123_201521,C: 0 T: 92683 P: -1 V: 16
20250123_201521,C: 0 T: 92683 P: -1 V: 16
20250123_201521,C: 0 T: 92683 P: -1 V: 19
20250123_201521,C: 0 T: 92683 P: -1 V: 20
20250123_201521,C: 0 T: 92683 P: -1 V: 23
20250123_201521,C: 0 T: 92683 P: -1 V: 15
20250123_201521,C: 0 T: 92683 P: -1 V: 24
20250123_201521,C: 0 T: 92683 P: -1 V: 15
20250123_201521,C: 0 T: 92683 P: -1 V: 25
20250123_201521,C: 0 T: 92683 P: -1 V: 16
20250123_201521,C: 0 T: 92683 P: -1 V: 15
20250123_201521,C: 0 T: 92683 P: -1 V: 18
20250123_201521,C: 0 T: 92683 P: -1 V: 21
20250123_201521,C: 0 T: 92683 P: -1 V: 14
20250123_201521,C: 0 T: 92683 P: -1 V: 24
20250123_201521,C: 0 T: 92683 P: -1 V: 23
20250123_201521,C: 0 T: 92683 P: -1 V: 14
20250123_201521,C: 0 T: 92683 P: -1 V: 28
20250123_201521,C: 0 T: 92683 P: -1 V: 19
20250123_201521,C: 0 T: 92683 P: -1 V: 15
20250123_201521,C: 0 T: 92683 P: -1 V: 29
20250123_201521,C: 0 T: 92683 P: -1 V: 13
20250123_201521,C: 0 T: 92683 P: -1 V: 16
20250123_201521,C: 0 T: 92683 P: -1 V: 21
20250123_201521,C: 0 T: 92683 P: -1 V: 18
20250123_201521,C: 0 T: 92683 P: -1 V: 20
20250123_201521,C: 0 T: 92683 P: -1 V: 17
20250123_201521,C: 0 T: 92683 P: -1 V: 16
20250123_201521,C: 0 T: 92683 P: -1 V: 20
20250123_201521,C: 0 T: 92683 P: -1 V: 21
20250123_201521,C: 0 T: 92683 P: -1 V: 13
20250123_201521,C: 0 T: 92683 P: -1 V: 22
20250123_201521,C: 0 T: 92683 P: -1 V: 19
20250123_201521,C: 0 T: 92683 P: -1 V: 10
20250123_201521,C: 0 T: 92683 P: -1 V: 29
20250123_201521,C: 0 T: 92683 P: -1 V: 16
20250123_201521,C: 0 T: 92683 P: -1 V: 21
20250123_201521,C: 0 T: 92683 P: -1 V: 18
20250123_201521,C: 0 T: 92683 P: -1 V: 23
20250123_201521,C: 0 T: 92683 P: -1 V: 20
20250123_201521,C: 0 T: 92683 P: -1 V: 18
20250123_201521,C: 0 T: 92683 P: -1 V: 26
20250123_201521,C: 0 T: 92683 P: -1 V: 13
20250123_201521,C: 0 T: 92683 P: -1 V: 25
20250123_201521,C: 0 T: 92683 P: -1 V: 13
20250123_201521,C: 0 T: 92683 P: -1 V: 13
20250123_201521,C: 0 T: 92683 P: -1 V: 29
20250123_201521,C: 0 T: 92683 P: -1 V: 15
20250123_201521,C: 0 T: 92684 P: -1 V: 20
20250123_201521,C: 0 T: 92684 P: -1 V: 20
20250123_201521,C: 0 T: 92684 P: -1 V: 25
20250123_201521,C: 0 T: 92684 P: -1 V: 12
20250123_201521,C: 0 T: 92684 P: -1 V: 28
20250123_201521,C: 0 T: 92684 P: -1 V: 20
20250123_201521,C: 0 T: 92684 P: -1 V: 15
20250123_201521,C: 0 T: 92684 P: -1 V: 23
20250123_201521,C: 0 T: 92684 P: -1 V: 12
20250123_201521,C: 0 T: 92684 P: -1 V: 17
20250123_201521,C: 0 T: 92684 P: -1 V: 19
20250123_201521,C: 0 T: 92684 P: -1 V: 19
20250123_201521,C: 0 T: 92684 P: -1 V: 13
20250123_201521,C: 0 T: 92684 P: -1 V: 18
20250123_201521,C: 0 T: 92684 P: -1 V: 22
20250123_201521,C: 0 T: 92684 P: -1 V: 17
20250123_201521,C: 0 T: 92684 P: -1 V: 21
20250123_201521,C: 0 T: 92684 P: -1 V: 15
20250123_201521,C: 0 T: 92684 P: -1 V: 19
20250123_201521,C: 0 T: 92684 P: -1 V: 19
20250123_201521,C: 0 T: 92684 P: -1 V: 18
20250123_201521,C: 0 T: 92684 P: -1 V: 20
20250123_201521,C: 0 T: 92684 P: -1 V: 19
20250123_201521,C: 0 T: 92684 P: -1 V: 21
20250123_201521,C: 0 T: 92684 P: -1 V: 15
20250123_201521,C: 0 T: 92684 P: -1 V: 19
20250123_201521,C: 0 T: 92684 P: -1 V: 13
20250123_201521,C: 0 T: 92684 P: -1 V: 28
20250123_201521,C: 0 T: 92684 P: -1 V: 21
20250123_201521,C: 0 T: 92684 P: -1 V: 16
20250123_201521,C: 0 T: 92684 P: -1 V: 24
20250123_201521,C: 0 T: 92684 P: -1 V: 24
20250123_201521,C: 0 T: 92684 P: -1 V: 17
