Index,Data
0,b'C: 0 P: -1 V: 16.00\r\n'
1,b'C: 0 P: -26 V: 21.75\r\n'
2,b'C: 0 P: -51 V: 21.40\r\n'
3,b'C: 0 P: -76 V: 21.79\r\n'
4,b'C: 0 P: -101 V: 22.33\r\n'
5,b'C: 0 P: -126 V: 23.37\r\n'
6,b'C: 0 P: -151 V: 24.52\r\n'
7,b'C: 0 P: -176 V: 25.64\r\n'
8,b'C: 0 P: -201 V: 26.65\r\n'
9,b'C: 0 P: -226 V: 27.56\r\n'
10,b'C: 0 P: -251 V: 28.34\r\n'
11,b'C: 0 P: -276 V: 29.09\r\n'
12,b'C: 0 P: -301 V: 29.53\r\n'
13,b'C: 0 P: -326 V: 29.95\r\n'
14,b'C: 0 P: -351 V: 30.24\r\n'
15,b'C: 0 P: -376 V: 30.50\r\n'
16,b'C: 0 P: -400 V: 30.71\r\n'
17,b'C: 0 P: -400 V: 30.75\r\n'
18,b'C: 0 P: -400 V: 30.94\r\n'
19,b'C: 0 P: -400 V: 31.03\r\n'
20,b'C: 0 P: -400 V: 31.04\r\n'
21,b'C: 0 P: -400 V: 31.17\r\n'
22,b'C: 0 P: -400 V: 31.18\r\n'
23,b'C: 0 P: -400 V: 31.15\r\n'
24,b'C: 0 P: -400 V: 31.23\r\n'
25,b'C: 0 P: -400 V: 31.25\r\n'
26,b'C: 0 P: -395 V: 31.24\r\n'
27,b'C: 0 P: -370 V: 31.23\r\n'
28,b'C: 0 P: -345 V: 31.43\r\n'
29,b'C: 0 P: -320 V: 31.47\r\n'
30,b'C: 0 P: -295 V: 31.49\r\n'
31,b'C: 0 P: -270 V: 31.36\r\n'
32,b'C: 0 P: -245 V: 31.28\r\n'
33,b'C: 0 P: -220 V: 30.93\r\n'
34,b'C: 0 P: -195 V: 30.73\r\n'
35,b'C: 0 P: -170 V: 30.20\r\n'
36,b'C: 0 P: -145 V: 29.57\r\n'
37,b'C: 0 P: -119 V: 28.87\r\n'
38,b'C: 0 P: -94 V: 27.70\r\n'
39,b'C: 0 P: -69 V: 26.52\r\n'
40,b'C: 0 P: -44 V: 24.84\r\n'
41,b'C: 0 P: -19 V: 23.37\r\n'
42,b'C: 0 P: 6 V: 21.91\r\n'
43,b'C: 0 P: 31 V: 20.59\r\n'
44,b'C: 0 P: 56 V: 19.53\r\n'
45,b'C: 0 P: 81 V: 18.77\r\n'
46,b'C: 0 P: 106 V: 18.33\r\n'
47,b'C: 0 P: 131 V: 18.14\r\n'
48,b'C: 0 P: 156 V: 18.33\r\n'
49,b'C: 0 P: 181 V: 18.52\r\n'
50,b'C: 0 P: 206 V: 19.12\r\n'
51,b'C: 0 P: 231 V: 19.73\r\n'
52,b'C: 0 P: 256 V: 20.33\r\n'
53,b'C: 0 P: 281 V: 20.97\r\n'
54,b'C: 0 P: 306 V: 21.27\r\n'
